idx,rel_path,size_mb,pages,sha256,duplicate_of,text_chars,thai_chars,status,text_file,error
80,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition.pdf,334.769,1717,0092dbbf73c136dc9a146ffbb860716242eee8980c9d404d97b8de9587ca2e85,All in 4s Collector’s Edition (2).pdf,14404,3829,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\080_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition.pdf.txt,
81,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part1.pdf,21.558,92,f906d6367bcd338783aefdae239c389b87d5511132e910c716337281b7bf9ce4,All in 4s Collector’s Edition (2)_part1.pdf,2653,1852,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\081_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part1.pdf.txt,
82,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part10.pdf,17.106,92,3b38686f86571f043c767f0dae638f82648d3a518f71648c91531c021c47ee6f,All in 4s Collector’s Edition (2)_part10.pdf,266,0,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\082_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part10.pdf.txt,
83,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part11.pdf,20.12,92,36bec62f6ed667f6fd7fc1c32626bf4fc5d7166553cdd392933649e1169a119f,All in 4s Collector’s Edition (2)_part11.pdf,342,111,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\083_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part11.pdf.txt,
84,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part12.pdf,19.139,92,932abb0589f1bc1a22928cddef1eb494bae016e46598a46485a9e046a827a671,All in 4s Collector’s Edition (2)_part12.pdf,535,0,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\084_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part12.pdf.txt,
85,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part13.pdf,17.151,92,f3d8814e4a4c6af9dcc87e19840183795f0c078a0e856329548ff9c1588d060c,All in 4s Collector’s Edition (2)_part13.pdf,437,6,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\085_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part13.pdf.txt,
86,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part14.pdf,18.387,92,7d150d18a349c1bc4dccc9b163aa82ab65bc4e1dcc7b0998511c4c6d2ce7ae71,All in 4s Collector’s Edition (2)_part14.pdf,455,0,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\086_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part14.pdf.txt,
87,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part15.pdf,17.206,92,03f5f4a1852ea84af585c01dcb84e2a9f15d5f09ca94e0f3908f6dd9c4c6f979,All in 4s Collector’s Edition (2)_part15.pdf,403,0,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\087_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part15.pdf.txt,
88,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part16.pdf,16.448,92,4347c9d25f3d04facc3d117fc36131348438f4587e154d40f741f854983ee58f,All in 4s Collector’s Edition (2)_part16.pdf,504,0,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\088_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part16.pdf.txt,
89,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part17.pdf,17.498,92,c19b625fa7add9356548cb4f0f26137333061359be3eb42b5eade8255ce4d952,All in 4s Collector’s Edition (2)_part17.pdf,370,0,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\089_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part17.pdf.txt,
