portfolio,leg,label,ticket,signal,entry_ts,sl,tp,close_time,close_price,status,profit_usd
P13,D,S37 S/R Pivot,555625300,BUY,2026-07-02T20:36:14.754287+07:00,4101.79,4167.72,2026-07-03T00:35:24+07:00,4101.79,SL,-33.83
P16,D,S37 S/R Pivot,555625301,BUY,2026-07-02T20:36:14.836803+07:00,4101.79,4167.72,2026-07-03T00:35:24+07:00,4101.79,SL,-33.69
P13,N,S47 SuperTrend,555633788,BUY,2026-07-02T20:41:14.755649+07:00,4098.07,4210.3,2026-07-03T07:12:45+07:00,4126.46,OTHER,-4.63
P16,N,S47 SuperTrend,555633789,BUY,2026-07-02T20:41:14.841844+07:00,4098.07,4210.3,2026-07-03T07:12:45+07:00,4126.46,OTHER,-4.61
P13,D,S37 S/R Pivot,555706230,BUY,2026-07-02T21:30:33.013300+07:00,4104.32,4134.52,2026-07-03T00:31:45+07:00,4104.32,SL,-14.36
P16,D,S37 S/R Pivot,555706234,BUY,2026-07-02T21:30:33.100469+07:00,4104.32,4134.52,2026-07-03T00:31:45+07:00,4104.32,SL,-14.45
P16,L,S45 OrderBlock,555706235,BUY,2026-07-02T21:30:33.100469+07:00,4099.6,4141.6,2026-07-03T07:12:45+07:00,4126.46,OTHER,7.57
P13,D,S37 S/R Pivot,555713540,BUY,2026-07-02T21:35:33.014628+07:00,4104.27,4142.72,2026-07-03T00:31:45+07:00,4104.27,SL,-13.19
P16,D,S37 S/R Pivot,555713542,BUY,2026-07-02T21:35:33.088614+07:00,4104.27,4142.72,2026-07-03T00:31:45+07:00,4104.27,SL,-13.21
P16,E,S38 Fibonacci OTE,555719686,BUY,2026-07-02T21:40:33.039233+07:00,4099.93,4137.23,2026-07-03T07:12:45+07:00,4126.46,OTHER,6.93
P16,E,S38 Fibonacci OTE,555726827,BUY,2026-07-02T21:45:33.053043+07:00,4100.17,4137.07,2026-07-03T07:12:45+07:00,4126.46,OTHER,5.73
P16,E,S38 Fibonacci OTE,555733354,BUY,2026-07-02T21:50:33.058951+07:00,4100.34,4144.82,2026-07-03T07:12:45+07:00,4126.46,OTHER,2.07
P16,A,S31 Engulfing,555794191,BUY,2026-07-02T22:50:14.856721+07:00,4115.26,4142.44,2026-07-03T00:30:03+07:00,4115.26,SL,-12.55
P13,N,S47 SuperTrend,556071701,BUY,2026-07-03T13:54:11.471217+07:00,4156.33,4206.85,2026-07-03T19:23:01+07:00,4184.83,OTHER,10.72
P16,N,S47 SuperTrend,556071704,BUY,2026-07-03T13:54:11.903613+07:00,4156.33,4206.85,2026-07-03T19:23:01+07:00,4184.83,OTHER,10.73
P13,D,S37 S/R Pivot,556077680,BUY,2026-07-03T14:09:11.471676+07:00,4167.87,4185.75,2026-07-03T16:05:46+07:00,4185.75,TP,5.62
P16,A,S31 Engulfing,556077685,BUY,2026-07-03T14:09:11.877744+07:00,4165.79,4184.25,2026-07-03T16:02:46+07:00,4184.25,TP,4.13
P16,D,S37 S/R Pivot,556077688,BUY,2026-07-03T14:09:11.877744+07:00,4167.87,4185.75,2026-07-03T16:05:46+07:00,4185.75,TP,5.6899999999999995
P13,D,S37 S/R Pivot,556080956,BUY,2026-07-03T14:14:11.479943+07:00,4171.33,4194.1,2026-07-03T15:17:25+07:00,4171.33,SL,-2.94
P13,K,S44 VolProfile,556080957,BUY,2026-07-03T14:14:11.479943+07:00,4170.45,4195.42,2026-07-03T15:22:09+07:00,4170.45,SL,-3.82
P16,D,S37 S/R Pivot,556080960,BUY,2026-07-03T14:14:12.401031+07:00,4171.33,4194.1,2026-07-03T15:17:25+07:00,4171.33,SL,-3.13
P16,K,S44 VolProfile,556080965,BUY,2026-07-03T14:14:12.401031+07:00,4170.45,4195.42,2026-07-03T15:22:09+07:00,4170.45,SL,-4.04
P13,D,S37 S/R Pivot,556083304,BUY,2026-07-03T14:19:11.469187+07:00,4168.59,4182.39,2026-07-03T16:02:22+07:00,4182.39,TP,10.18
P13,F,S39 Demand/Supply,556083308,BUY,2026-07-03T14:19:11.469187+07:00,4167.17,4184.52,2026-07-03T16:02:47+07:00,4184.52,TP,12.31
P16,D,S37 S/R Pivot,556083313,BUY,2026-07-03T14:19:12.232175+07:00,4168.59,4182.39,2026-07-03T16:02:22+07:00,4182.39,TP,10.15
P16,F,S39 Demand/Supply,556083314,BUY,2026-07-03T14:19:12.232175+07:00,4167.17,4184.52,2026-07-03T16:02:47+07:00,4184.52,TP,12.3
P13,F,S39 Demand/Supply,556085341,BUY,2026-07-03T14:24:11.473730+07:00,4167.22,4178.49,2026-07-03T15:39:35+07:00,4178.49,TP,5.91
P13,K,S44 VolProfile,556085349,BUY,2026-07-03T14:24:11.473730+07:00,4165.78,4180.65,2026-07-03T15:48:41+07:00,4180.65,TP,8.07
P16,F,S39 Demand/Supply,556085353,BUY,2026-07-03T14:24:12.385638+07:00,4167.22,4178.49,2026-07-03T15:39:35+07:00,4178.49,TP,5.8
P16,K,S44 VolProfile,556085355,BUY,2026-07-03T14:24:12.385638+07:00,4165.78,4180.65,2026-07-03T15:48:41+07:00,4180.65,TP,8.04
P13,F,S39 Demand/Supply,556087120,BUY,2026-07-03T14:29:11.477484+07:00,4167.23,4182.35,2026-07-03T16:02:22+07:00,4182.35,TP,7.42
P13,K,S44 VolProfile,556087126,BUY,2026-07-03T14:29:11.477484+07:00,4164.64,4186.24,2026-07-03T16:34:21+07:00,4186.24,TP,11.31
P16,F,S39 Demand/Supply,556087127,BUY,2026-07-03T14:29:12.264794+07:00,4167.23,4182.35,2026-07-03T16:02:22+07:00,4182.35,TP,7.33
P16,K,S44 VolProfile,556087128,BUY,2026-07-03T14:29:12.264794+07:00,4164.64,4186.24,2026-07-03T16:34:21+07:00,4186.24,TP,11.18
P13,D,S37 S/R Pivot,556088389,BUY,2026-07-03T14:34:11.471558+07:00,4169.14,4184.71,2026-07-03T16:02:54+07:00,4184.71,TP,7.48
P13,K,S44 VolProfile,556088391,BUY,2026-07-03T14:34:11.471558+07:00,4166.0,4189.42,2026-07-03T19:23:01+07:00,4184.83,OTHER,7.59
P16,D,S37 S/R Pivot,556088415,BUY,2026-07-03T14:34:12.341764+07:00,4169.14,4184.71,2026-07-03T16:02:54+07:00,4184.71,TP,7.46
P16,K,S44 VolProfile,556088416,BUY,2026-07-03T14:34:12.341764+07:00,4166.0,4189.42,2026-07-03T19:23:01+07:00,4184.83,OTHER,7.58
P13,K,S44 VolProfile,556098345,BUY,2026-07-03T14:54:11.477632+07:00,4174.65,4189.1,2026-07-03T17:23:42+07:00,4174.65,SL,-3.73
P16,K,S44 VolProfile,556098346,BUY,2026-07-03T14:54:11.970049+07:00,4174.65,4189.1,2026-07-03T17:23:42+07:00,4174.65,SL,-3.74
P13,D,S37 S/R Pivot,556102603,BUY,2026-07-03T15:04:11.470358+07:00,4171.25,4185.5,2026-07-03T16:05:41+07:00,4185.5,TP,2.25
P16,D,S37 S/R Pivot,556102606,BUY,2026-07-03T15:04:11.911461+07:00,4171.25,4185.5,2026-07-03T16:05:41+07:00,4185.5,TP,2.25
P13,K,S44 VolProfile,556112377,BUY,2026-07-03T15:39:11.470263+07:00,4175.19,4201.07,2026-07-03T17:23:39+07:00,4175.19,SL,-7.64
P16,K,S44 VolProfile,556112378,BUY,2026-07-03T15:39:11.972022+07:00,4175.19,4201.07,2026-07-03T17:23:39+07:00,4175.19,SL,-7.64
P13,F,S39 Demand/Supply,556113987,BUY,2026-07-03T15:44:11.483101+07:00,4177.83,4188.51,2026-07-03T16:49:40+07:00,4177.83,SL,-5.75
P16,F,S39 Demand/Supply,556113990,BUY,2026-07-03T15:44:11.947543+07:00,4177.83,4188.51,2026-07-03T16:49:40+07:00,4177.83,SL,-5.7
P13,F,S39 Demand/Supply,556116046,BUY,2026-07-03T15:49:11.471774+07:00,4177.86,4193.51,2026-07-03T16:49:40+07:00,4177.86,SL,-1.52
P16,F,S39 Demand/Supply,556116048,BUY,2026-07-03T15:49:11.910834+07:00,4177.86,4193.51,2026-07-03T16:49:40+07:00,4177.86,SL,-1.52
P13,D,S37 S/R Pivot,556125323,BUY,2026-07-03T16:19:11.479271+07:00,4171.55,4193.7,2026-07-03T17:27:52+07:00,4171.55,SL,-5.44
P16,D,S37 S/R Pivot,556125324,BUY,2026-07-03T16:19:11.907033+07:00,4171.55,4193.7,2026-07-03T17:27:52+07:00,4171.55,SL,-5.44
P13,D,S37 S/R Pivot,556126736,BUY,2026-07-03T16:24:11.472080+07:00,4171.22,4183.12,2026-07-03T17:30:08+07:00,4171.22,SL,-2.68
P16,D,S37 S/R Pivot,556126739,BUY,2026-07-03T16:24:11.900290+07:00,4171.22,4183.12,2026-07-03T17:30:08+07:00,4171.22,SL,-2.68
P13,K,S44 VolProfile,556128551,BUY,2026-07-03T16:29:11.472048+07:00,4167.92,4182.0,2026-07-03T19:14:00+07:00,4182.0,TP,9.22
P16,E,S38 Fibonacci OTE,556128585,BUY,2026-07-03T16:29:11.918431+07:00,4165.06,4182.04,2026-07-03T19:14:00+07:00,4182.04,TP,9.26
P16,K,S44 VolProfile,556128589,BUY,2026-07-03T16:29:11.918431+07:00,4167.92,4182.0,2026-07-03T19:14:00+07:00,4182.0,TP,9.22
P13,D,S37 S/R Pivot,556133713,BUY,2026-07-03T16:44:11.472037+07:00,4165.21,4181.01,2026-07-03T18:22:43+07:00,4181.01,TP,8.49
P16,D,S37 S/R Pivot,556133716,BUY,2026-07-03T16:44:11.952663+07:00,4165.21,4181.01,2026-07-03T18:22:43+07:00,4181.01,TP,8.52
