[2026-07-27 17:51:53] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_251 skipped - hour 17 != 14
[2026-07-27 17:51:53] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_252 skipped - hour 17 != 11
[2026-07-27 17:51:53] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_254 skipped - hour 17 != 9
[2026-07-27 17:51:53] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_255 skipped - hour 17 != 19
[2026-07-27 17:51:53] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_256 skipped - hour 17 != 20
[2026-07-27 17:51:53] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_259 skipped - hour 17 != 16
[2026-07-27 17:51:53] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_261 skipped - hour 17 != 16
[2026-07-27 17:51:53] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_262 skipped - hour 17 != 12
[2026-07-27 17:51:53] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_263 skipped - risk_distance 5.32 > 4.00
[2026-07-27 17:51:53] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_265 skipped - risk_distance 2.83 > 2.70
[2026-07-27 17:51:53] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_266 skipped - hour 17 != 16
[2026-07-27 17:51:54] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_268 skipped - hour 17 != 9
[2026-07-27 17:51:54] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_269 skipped - hour 17 != 19
[2026-07-27 17:51:54] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_270 skipped - hour 17 != 19
[2026-07-27 17:51:54] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_275 skipped - hour 17 != 9
[2026-07-27 17:51:54] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_276 skipped - hour 17 != 12
[2026-07-27 17:51:54] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_277 skipped - hour 17 != 19
[2026-07-27 17:51:54] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_278 skipped - risk_distance 5.32 > 4.00
[2026-07-27 17:51:54] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_282 skipped - hour 17 != 14
[2026-07-27 17:51:54] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_283 skipped - hour 17 != 21
[2026-07-27 17:51:54] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_285 skipped - hour 17 != 8
[2026-07-27 17:51:54] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_286 skipped - hour 17 != 10
[2026-07-27 17:51:54] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_287 skipped - hour 17 != 16
[2026-07-27 17:51:54] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_291 skipped - hour 17 != 11
