Time (BKK),Close Time,TF,Type,Entry,SL,TP,P&L,Reason
2026-07-01 02:11:00,2026-07-01 03:06:00,M1,BUY,4033.55,4026.04,4044.07,-7.52,SL
2026-07-01 02:13:00,2026-07-01 03:06:00,M1,BUY,4032.91,4026.04,4042.46,-13.75,SL
2026-07-01 02:14:00,2026-07-01 03:06:00,M1,BUY,4033.05,4026.05,4042.80,-7.00,SL
2026-07-01 02:19:00,2026-07-01 03:06:00,M1,BUY,4032.07,4026.05,4040.34,-12.05,SL
2026-07-01 02:20:00,2026-07-01 03:06:00,M1,BUY,4032.50,4026.06,4041.41,-12.89,SL
2026-07-01 02:41:00,2026-07-01 02:51:00,M1,SELL,4029.04,4032.40,4024.75,-10.10,SL
2026-07-01 02:42:00,2026-07-01 02:51:00,M1,SELL,4028.48,4032.41,4023.34,-7.87,SL
2026-07-01 02:46:00,2026-07-01 02:51:00,M1,SELL,4029.51,4032.41,4025.90,-8.72,SL
2026-07-01 02:48:00,2026-07-01 02:51:00,M1,SELL,4029.30,4032.42,4025.38,-9.38,SL
2026-07-01 04:39:00,2026-07-01 06:10:00,M1,SELL,4010.68,4017.50,4001.20,-6.83,SL
2026-07-01 04:40:00,2026-07-01 06:10:00,M1,SELL,4010.31,4017.50,4000.27,-7.20,SL
2026-07-01 04:45:00,2026-07-01 06:10:00,M1,SELL,4010.94,4017.48,4001.88,-6.55,SL
2026-07-01 04:46:00,2026-07-01 06:10:00,M1,SELL,4010.93,4017.48,4001.85,-6.56,SL
2026-07-01 04:47:00,2026-07-01 06:10:00,M1,SELL,4010.35,4017.48,4000.41,-7.14,SL
2026-07-01 04:48:00,2026-07-01 06:10:00,M1,SELL,4010.28,4017.47,4000.25,-7.20,SL
2026-07-01 04:51:00,2026-07-01 06:10:00,M1,SELL,4009.91,4017.46,3999.33,-7.56,SL
2026-07-01 04:53:00,2026-07-01 06:10:00,M1,SELL,4010.07,4017.48,3999.71,-7.42,SL
2026-07-01 04:56:00,2026-07-01 06:10:00,M1,SELL,4008.18,4017.50,3994.95,-9.33,SL
2026-07-01 06:32:00,2026-07-01 07:56:00,M1,BUY,4014.25,4005.88,4026.06,-8.37,SL
2026-07-01 06:33:00,2026-07-01 07:56:00,M1,BUY,4014.95,4005.88,4027.81,-9.08,SL
2026-07-01 06:34:00,2026-07-01 07:56:00,M1,BUY,4015.84,4005.88,4030.03,-9.97,SL
2026-07-01 06:36:00,2026-07-01 07:56:00,M1,BUY,4015.88,4005.90,4030.10,-9.99,SL
2026-07-01 06:37:00,2026-07-01 07:56:00,M1,BUY,4015.92,4005.91,4030.18,-10.02,SL
2026-07-01 06:38:00,2026-07-01 07:56:00,M1,BUY,4016.08,4005.92,4030.57,-10.17,SL
2026-07-01 06:40:00,2026-07-01 07:56:00,M1,BUY,4016.83,4005.92,4032.44,-10.92,SL
2026-07-01 06:41:00,2026-07-01 07:56:00,M1,BUY,4017.59,4005.91,4034.36,-11.69,SL
2026-07-01 08:29:00,2026-07-01 08:41:00,M1,SELL,4002.39,4006.70,3996.67,5.71,TP
2026-07-01 08:30:00,2026-07-01 08:54:00,M1,SELL,4001.50,4006.70,3994.45,7.05,TP
2026-07-01 08:31:00,2026-07-01 09:02:00,M1,SELL,4000.96,4006.71,3993.09,7.86,TP
2026-07-01 08:39:00,2026-07-01 08:45:00,M1,SELL,4002.12,4006.68,3996.03,6.08,TP
2026-07-01 08:40:00,2026-07-01 09:02:00,M1,SELL,4000.77,4006.68,3992.65,8.11,TP
2026-07-01 08:41:00,2026-07-01 09:02:00,M1,SELL,4000.50,4006.67,3992.00,8.49,TP
2026-07-01 08:42:00,2026-07-01 09:08:00,M1,SELL,3996.94,4006.71,3983.04,13.89,TP
