Time (BKK),Close Time,Leg,TF,Type,Entry,SL,TP,Lot,P&L,Balance,Outcome
-,-,S111,M5,SELL,2656.32,2657.82,2651.12,0.01,-1.7,1939.29,SL
-,-,S111,M5,SELL,2656.32,2657.82,2651.12,0.01,-1.7,1937.59,SL
-,-,S111,M5,SELL,2654.09,2655.59,2651.62,0.01,-1.7,1935.89,SL
-,-,S111,M5,SELL,2651.85,2653.35,2649.45,0.01,2.2,1938.09,TP
-,-,S111,M5,SELL,2651.85,2653.35,2649.45,0.01,2.2,1940.29,TP
-,-,S111,M5,SELL,2682.85,2684.35,2680.32,0.01,-1.7,1938.59,SL
-,-,S111,M5,SELL,2682.85,2684.35,2680.32,0.01,-1.7,1936.89,SL
-,-,S111,M5,SELL,2682.85,2684.35,2680.32,0.01,-1.7,1935.19,SL
-,-,S111,M5,SELL,2724.71,2726.21,2719.98,0.01,-1.7,1933.49,SL
-,-,S111,M5,SELL,2724.71,2726.21,2719.98,0.01,-1.7,1931.79,SL
-,-,S111,M5,SELL,2724.71,2726.21,2719.98,0.01,-1.7,1930.09,SL
-,-,S111,M5,SELL,2724.71,2726.21,2719.98,0.01,-1.7,1928.39,SL
-,-,S111,M5,SELL,2724.71,2726.21,2719.98,0.01,-1.7,1926.69,SL
-,-,S111,M5,BUY,2725.8,2724.3,2727.83,0.01,-1.7,1924.99,SL
-,-,S111,M5,BUY,2731.15,2729.65,2732.6,0.01,1.25,1926.24,TP
-,-,S111,M5,BUY,2741.52,2740.02,2745.35,0.01,-1.7,1924.54,SL
-,-,S111,M5,BUY,2741.52,2740.02,2745.35,0.01,-1.7,1922.84,SL
-,-,S111,M5,BUY,2744.07,2742.57,2746.37,0.01,-1.7,1921.14,SL
-,-,S111,M5,SELL,2747.6,2749.1,2745.2,0.01,2.2,1923.34,TP
-,-,S111,M5,SELL,2747.6,2749.1,2745.2,0.01,2.2,1925.54,TP
-,-,S111,M5,BUY,2659.5,2658.0,2662.92,0.01,-1.7,1923.84,SL
-,-,S111,M5,BUY,2613.46,2611.96,2616.12,0.01,-1.7,1922.14,SL
-,-,S111,M5,BUY,2613.46,2611.96,2616.12,0.01,-1.7,1920.44,SL
-,-,S111,M5,SELL,2575.56,2577.06,2569.94,0.01,5.42,1925.86,TP
-,-,S111,M5,SELL,2575.56,2577.06,2569.94,0.01,5.42,1931.28,TP
-,-,S111,M5,SELL,2575.56,2577.06,2569.94,0.01,5.42,1936.7,TP
-,-,S111,M5,SELL,2575.56,2577.06,2569.94,0.01,5.42,1942.12,TP
-,-,S111,M5,SELL,2575.56,2577.06,2569.94,0.01,5.42,1947.54,TP
-,-,S111,M5,SELL,2571.83,2573.33,2569.73,0.01,-1.7,1945.84,SL
-,-,S111,M5,BUY,2581.86,2580.36,2589.31,0.01,7.25,1953.09,TP
-,-,S111,M5,BUY,2581.86,2580.36,2589.31,0.01,7.25,1960.34,TP
-,-,S111,M5,BUY,2581.86,2580.36,2589.31,0.01,7.25,1967.59,TP
-,-,S111,M5,SELL,2686.28,2688.21,2673.49,0.01,-2.13,1965.46,SL
-,-,S111,M5,SELL,2686.28,2687.79,2673.49,0.01,-1.71,1963.75,SL
-,-,S111,M5,SELL,2686.28,2688.34,2673.49,0.01,-2.26,1961.49,SL
-,-,S111,M5,SELL,2686.28,2687.78,2673.49,0.01,-1.7,1959.79,SL
-,-,S111,M5,SELL,2686.28,2687.93,2673.49,0.01,-1.85,1957.94,SL
-,-,S111,M5,SELL,2686.28,2687.78,2673.49,0.01,-1.7,1956.24,SL
-,-,S111,M5,SELL,2686.28,2687.78,2673.49,0.01,-1.7,1954.54,SL
-,-,S111,M5,SELL,2686.28,2687.78,2673.49,0.01,-1.7,1952.84,SL
-,-,S111,M5,BUY,2612.66,2611.16,2620.91,0.01,-1.7,1951.14,SL
-,-,S111,M5,BUY,2612.66,2611.16,2620.91,0.01,-1.7,1949.44,SL
-,-,S111,M5,BUY,2612.66,2611.16,2620.91,0.01,-1.7,1947.74,SL
-,-,S111,M5,BUY,2612.66,2611.16,2620.91,0.01,-1.7,1946.04,SL
-,-,S111,M5,BUY,2612.66,2611.16,2620.91,0.01,-1.7,1944.34,SL
-,-,S111,M5,BUY,2612.66,2611.16,2620.91,0.01,-1.7,1942.64,SL
-,-,S111,M5,BUY,2612.66,2611.16,2620.91,0.01,-1.7,1940.94,SL
-,-,S111,M5,BUY,2636.06,2634.56,2640.85,0.01,-1.7,1939.24,SL
-,-,S111,M5,BUY,2636.06,2634.56,2640.85,0.01,-1.7,1937.54,SL
-,-,S111,M5,BUY,2636.06,2634.56,2640.85,0.01,-1.7,1935.84,SL
-,-,S111,M5,BUY,2636.06,2634.56,2640.85,0.01,-1.7,1934.14,SL
-,-,S111,M5,BUY,2636.06,2634.56,2640.85,0.01,-1.7,1932.44,SL
-,-,S111,M5,SELL,2633.4,2634.9,2629.95,0.01,3.25,1935.69,TP
-,-,S111,M5,SELL,2633.4,2634.9,2629.95,0.01,3.25,1938.94,TP
-,-,S111,M5,SELL,2643.67,2645.17,2641.51,0.01,1.96,1940.9,TP
-,-,S111,M5,SELL,2628.13,2629.63,2620.1,0.01,-1.7,1939.2,SL
-,-,S111,M5,SELL,2628.13,2629.63,2620.1,0.01,-1.7,1937.5,SL
-,-,S111,M5,BUY,2629.94,2628.44,2633.98,0.01,-1.7,1935.8,SL
-,-,S111,M5,BUY,2629.94,2628.44,2633.98,0.01,-1.7,1934.1,SL
-,-,S111,M5,BUY,2633.83,2632.33,2642.68,0.01,-1.7,1932.4,SL
-,-,S111,M5,BUY,2633.08,2631.58,2642.31,0.01,-1.7,1930.7,SL
-,-,S111,M5,SELL,2625.63,2627.13,2619.51,0.01,5.92,1936.62,TP
-,-,S111,M5,BUY,2629.67,2628.17,2631.82,0.01,1.95,1938.57,TP
-,-,S111,M5,BUY,2629.67,2628.17,2631.82,0.01,1.95,1940.52,TP
-,-,S111,M5,SELL,2610.68,2612.18,2607.85,0.01,2.63,1943.15,TP
-,-,S111,M5,SELL,2610.68,2612.18,2607.85,0.01,2.63,1945.78,TP
-,-,S111,M5,SELL,2610.68,2612.18,2607.85,0.01,2.63,1948.41,TP
-,-,S111,M5,SELL,2665.9,2667.4,2662.78,0.01,2.92,1951.33,TP
-,-,S111,M5,SELL,2665.9,2667.4,2662.78,0.01,2.92,1954.25,TP
-,-,S111,M5,SELL,2699.4,2700.9,2694.34,0.01,-1.7,1952.55,SL
-,-,S111,M5,SELL,2699.4,2700.9,2694.34,0.01,-1.7,1950.85,SL
-,-,S111,M5,SELL,2699.4,2700.9,2694.34,0.01,-1.7,1949.15,SL
-,-,S111,M5,SELL,2751.46,2752.96,2746.01,0.01,-1.7,1947.45,SL
-,-,S111,M5,SELL,2751.46,2752.96,2746.01,0.01,-1.7,1945.75,SL
-,-,S111,M5,SELL,2798.72,2800.22,2793.53,0.01,-1.7,1944.05,SL
-,-,S111,M5,SELL,2798.72,2800.22,2793.53,0.01,-1.7,1942.35,SL
-,-,S111,M5,SELL,2798.72,2800.22,2793.53,0.01,-1.7,1940.65,SL
-,-,S111,M5,SELL,2798.72,2800.22,2793.53,0.01,-1.7,1938.95,SL
-,-,S111,M5,SELL,2867.41,2868.91,2861.95,0.01,-1.7,1937.25,SL
-,-,S111,M5,SELL,2867.41,2868.91,2861.95,0.01,-1.7,1935.55,SL
-,-,S111,M5,BUY,2859.42,2857.92,2862.57,0.01,2.95,1938.5,TP
-,-,S111,M5,BUY,2859.42,2857.92,2862.57,0.01,2.95,1941.45,TP
