target_af,window_days,component_no,component_type,component_name,weight,raw_trades,derived_window,pnl,pnl_per_day
AF34,150,13,overlay,AMBFIX_DIR_S84_RD0.8_1.3_H18,414.033,3,no,563.08488,3.753899
AF34,150,14,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H18,138.139,13,no,824.68983,5.497932
AF34,150,15,overlay,AMBFIX_INV_S84_RD4.0_5.0_H15,156.917,11,no,621.39132,4.142609
AF34,150,16,overlay,AMBFIX_INV_S84_RD2.0_2.7_H9,158.086,20,no,-1694.68192,-11.297879
AF34,150,17,overlay,AMBFIX_INV_S84_RD5.0_7.0_H8,86.29,24,no,709.3038,4.728692
AF34,150,18,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H14,85.289,14,no,1657.16527,11.047768
AF34,150,19,overlay,AMBFIX_INV_S84_RD3.4_4.0_H10,46.265,11,no,161.0022,1.073348
AF34,150,20,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H17,584.897,5,no,14587.33118,97.248875
AF34,150,21,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H10,344.492,4,no,5384.40996,35.896066
AF34,150,22,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H14,244.089,5,no,8054.937,53.69958
AF34,150,23,overlay,AMBFIX_INV_S84c6017_RD5.0_7.0_H16,344.837,4,no,3448.37,22.989133
AF34,150,24,overlay,AMBFIX_DIR_S84c6017_ALL_H12,23.911,41,no,2120.66659,14.137777
AF34,150,25,overlay,AMBFIX_INV_S84c5505_RD5.0_7.0_H11,121.543,8,no,804.61466,5.364098
AF34,150,26,overlay,AMBFIX_DIR_S84c5505_RD5.0_7.0_H14,114.571,4,no,3054.46286,20.363086
AF34,150,27,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H11,415.734,4,no,9811.3224,65.408816
AF34,150,28,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H22,222.978,3,no,2626.68084,17.511206
AF34,150,29,overlay,AMBFIX_DIR_S84c3057_RD4.0_5.0_H19,733.281,10,no,24044.28399,160.295227
AF34,150,30,overlay,AMBFIX_INV_S84c3057_RD2.7_3.4_H13,525.853,4,no,12378.57962,82.523864
AF34,150,31,overlay,AMBFIX_INV_S84c3057_RD3.4_4.0_H11,321.025,5,no,5576.20425,37.174695
AF34,150,32,overlay,AMBFIX_DIR_S84c889_RD2.7_3.4_H9,491.628,6,no,8957.46216,59.716414
AF34,150,33,overlay,AMBFIX_DIR_S84c889_RD3.4_4.0_H13,437.129,5,no,5389.80057,35.932004
AF34,150,34,overlay,AMBFIX_INV_S84c889_RD2.7_3.4_H13,273.83,5,no,4403.1864,29.354576
AF34,180,0,base,S88,,,no,80842.35507,449.124195
AF34,180,1,overlay,AMBFIX_INV_S84_M15_OLDWICK_FOLLOW_RD4.0_5.0_H17,172.759,22,no,2893.71325,16.076185
AF34,180,2,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H10,196.726,22,no,7861.17096,43.673172
AF34,180,3,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H12,123.035,21,no,4087.2227,22.706793
AF34,180,4,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H17,92.141,16,no,4461.46722,24.785929
AF34,180,5,overlay,AMBFIX_INV_S84_RD3.4_4.0_H11,325.852,14,no,4721.59548,26.231086
AF34,180,6,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H14,222.36,13,no,4251.5232,23.619573
AF34,180,7,overlay,AMBFIX_INV_S84_RD4.0_5.0_H22,258.309,14,no,4685.72526,26.031807
AF34,180,8,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H15,116.366,22,no,3077.8807,17.099337
AF34,180,9,overlay,AMBFIX_INV_S84_RD3.4_4.0_H19,232.335,18,no,3250.36665,18.057592
AF34,180,10,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H11,212.057,16,no,7159.04432,39.772468
AF34,180,11,overlay,AMBFIX_DIR_S84_RD3.4_4.0_H22,274.789,11,no,1607.51565,8.930643
AF34,180,12,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H20,54.139,29,no,2261.38603,12.563256
AF34,180,13,overlay,AMBFIX_DIR_S84_RD0.8_1.3_H18,414.033,3,no,563.08488,3.128249
AF34,180,14,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H18,138.139,16,no,102.22286,0.567905
AF34,180,15,overlay,AMBFIX_INV_S84_RD4.0_5.0_H15,156.917,11,no,621.39132,3.452174
AF34,180,16,overlay,AMBFIX_INV_S84_RD2.0_2.7_H9,158.086,25,no,2102.5438,11.680799
AF34,180,17,overlay,AMBFIX_INV_S84_RD5.0_7.0_H8,86.29,29,no,1313.3338,7.296299
AF34,180,18,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H14,85.289,16,no,1574.43494,8.746861
AF34,180,19,overlay,AMBFIX_INV_S84_RD3.4_4.0_H10,46.265,13,no,144.80945,0.804497
AF34,180,20,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H17,584.897,7,no,18143.50494,100.79725
AF34,180,21,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H10,344.492,5,no,7561.5994,42.008886
AF34,180,22,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H14,244.089,8,no,10168.74774,56.493043
AF34,180,23,overlay,AMBFIX_INV_S84c6017_RD5.0_7.0_H16,344.837,5,no,5662.22354,31.456797
AF34,180,24,overlay,AMBFIX_DIR_S84c6017_ALL_H12,23.911,46,no,2465.94143,13.699675
AF34,180,25,overlay,AMBFIX_INV_S84c5505_RD5.0_7.0_H11,121.543,9,no,1543.5961,8.575534
AF34,180,26,overlay,AMBFIX_DIR_S84c5505_RD5.0_7.0_H14,114.571,7,no,4046.64772,22.481376
AF34,180,27,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H11,415.734,7,no,11540.77584,64.115421
AF34,180,28,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H22,222.978,3,no,963.26496,5.351472
AF34,180,29,overlay,AMBFIX_DIR_S84c3057_RD4.0_5.0_H19,733.281,12,no,24352.26201,135.290345
AF34,180,30,overlay,AMBFIX_INV_S84c3057_RD2.7_3.4_H13,525.853,6,no,10885.1571,60.473095
AF34,180,31,overlay,AMBFIX_INV_S84c3057_RD3.4_4.0_H11,321.025,8,no,3800.936,21.116311
AF34,180,32,overlay,AMBFIX_DIR_S84c889_RD2.7_3.4_H9,491.628,6,no,8957.46216,49.763679
AF34,180,33,overlay,AMBFIX_DIR_S84c889_RD3.4_4.0_H13,437.129,7,no,5503.45411,30.574745
AF34,180,34,overlay,AMBFIX_INV_S84c889_RD2.7_3.4_H13,273.83,6,no,5914.728,32.8596
