target_af,window_days,component_no,component_name,family,entry_tf,mode,rd_min,rd_max,fill_hour,weight,orders,pnl_per_001lot,pnl_weighted_full,lot_max,max_dd_pct,skipped_by_cb,ambiguous,m1_sl,m1_tp,unresolved
AF170,730,131,AMBFIX_DIR_S84RUNc5505_RD5.0_7.0_H10,s84,M30,direct,5.0,7.0,10,269.793,23,13.49,3639.50757,0.01,1.77,10,48,25,20,3
AF170,730,132,AMBFIX_INV_S84RUNc6017_RDall_H10,s84,M30,inverse,,,10,42.313,201,58.6,2479.5418,0.07,9.37,70,47,24,20,3
AF170,730,133,AMBFIX_DIR_S86RUNc7187_RDall_H11,s86,M30,direct,,,11,78.394,20,156.69,12283.55586,0.01,3.96,10,1,0,0,1
AF170,730,134,AMBFIX_DIR_S86RUNc4227_RDall_H22,s86,M30,direct,,,22,49.47,29,-64.97,-3214.0659,0.02,8.05,18,3,1,2,0
AF170,730,135,AMBFIX_DIR_S86RUNc6275_RDall_H22,s86,M30,direct,,,22,53.53,26,-75.0,-4014.75,0.01,7.5,18,3,1,2,0
AF170,730,136,AMBFIX_INV_S86RUNc11_RD5.0_7.0_H19,s86,M15,inverse,5.0,7.0,19,164.379,22,-0.1,-16.4379,0.01,2.65,10,7,2,2,3
AF170,730,137,AMBFIX_INV_S84RUNc28_RD2.7_3.4_H8,s84,M15,inverse,2.7,3.4,8,588.223,35,7.73,4546.96379,0.02,2.36,15,1522,745,719,58
AF170,730,138,AMBFIX_INV_S84RUNc889_RD5.0_7.0_H13,s84,M15,inverse,5.0,7.0,13,56.602,66,46.4,2626.3328,0.01,2.83,20,225,132,87,6
AF170,730,139,AMBFIX_INV_S84RUNc3057_RD4.0_5.0_H14,s84,M15,inverse,4.0,5.0,14,108.329,68,2.57,278.40553,0.01,2.34,20,174,103,65,6
AF170,730,140,AMBFIX_INV_S84RUNc4369_RD5.0_7.0_H11,s84,M30,inverse,5.0,7.0,11,1200.0,30,22.91,27492.0,0.01,2.28,6,57,27,28,2
AF170,730,141,AMBFIX_INV_S84RUNc28_RD1.3_2.0_H13,s84,M15,inverse,1.3,2.0,13,394.581,94,-57.87,-22834.40247,0.04,5.8,33,1522,745,719,58
AF170,730,142,AMBFIX_INV_S84RUNc889_RD2.0_2.7_H18,s84,M15,inverse,2.0,2.7,18,235.008,67,-9.79,-2300.72832,0.03,5.13,30,225,132,87,6
AF170,730,143,AMBFIX_DIR_S84RUNc3057_RD2.0_2.7_H17,s84,M15,direct,2.0,2.7,17,492.607,84,10.9,5369.4163,0.03,3.9,36,174,103,65,6
AF170,730,144,AMBFIX_INV_S84RUNc4369_RD5.0_7.0_H11,s84,M30,inverse,5.0,7.0,11,1200.0,30,22.91,27492.0,0.01,2.28,6,57,27,28,2
AF170,730,145,AMBFIX_DIR_S84RUNc5505_RD5.0_7.0_H17,s84,M30,direct,5.0,7.0,17,218.215,31,-11.58,-2526.9297,0.01,2.61,17,48,25,20,3
AF170,730,146,AMBFIX_DIR_S84RUNc6017_RD5.0_7.0_H10,s84,M30,direct,5.0,7.0,10,57.029,22,5.82,331.90878,0.01,2.4,10,47,24,20,3
AF170,730,147,AMBFIX_INV_S86RUNc7171_RDall_H21,s86,M30,inverse,,,21,45.827,49,138.1,6328.7087,0.01,11.76,0,3,1,1,1
