signal,outcome,signal_time_ts,fill_time_ts,exit_time_ts,entry,tp,sl,exit_price,risk_distance,diff_usd_per_001lot,spread,lot,risk_pct_used,risk_usd,pnl_usd,equity_after
SELL,TP,1781079300,1781079300,1781080800,4200.33,4187.96,4212.7,4187.96,12.37,12.37,0.2,0.01,0.5,5.22,12.17,1056.65
SELL,TP,1781084100,1781084100,1781089500,4168.11,4156.5,4179.72,4156.5,11.61,11.61,0.2,0.01,0.5,5.28,11.41,1068.06
SELL,TP,1781100900,1781100900,1781100900,4151.45,4136.74,4166.16,4136.74,14.71,14.71,0.2,0.01,0.5,5.34,14.51,1082.57
SELL,TP,1781109600,1781109600,1781109900,4124.56,4109.27,4139.85,4109.27,15.29,15.29,0.2,0.01,0.5,5.41,15.09,1097.66
SELL,SL,1781165400,1781165400,1781165700,4093.63,4084.5,4102.76,4102.76,9.13,-9.13,0.2,0.01,0.5,5.49,-9.33,1088.33
BUY,SL,1781167500,1781167500,1781170200,4107.55,4118.37,4096.73,4096.73,10.82,-10.82,0.2,0.01,0.5,5.44,-11.02,1077.31
SELL,SL,1781180700,1781180700,1781181000,4086.35,4079.06,4093.64,4093.64,7.29,-7.29,0.2,0.01,0.5,5.39,-7.49,1069.82
BUY,SL,1781520600,1781520600,1781529000,4340.13,4349.13,4331.13,4331.13,9.0,-9.0,0.2,0.01,0.5,5.35,-9.2,1060.62
BUY,TP,1781522400,1781522400,1781526600,4338.46,4343.88,4333.04,4343.88,5.42,5.42,0.2,0.01,0.5,5.3,5.22,1065.84
BUY,TP,1781523000,1781523000,1781526600,4338.54,4343.97,4333.11,4343.97,5.43,5.43,0.2,0.01,0.5,5.33,5.23,1071.07
BUY,TP,1781526000,1781526000,1781526600,4339.16,4344.2,4334.12,4344.2,5.04,5.04,0.2,0.01,0.5,5.36,4.84,1075.91
BUY,TP,1781529900,1781529900,1781530500,4333.08,4345.56,4320.6,4345.56,12.48,12.48,0.2,0.01,0.5,5.38,12.28,1088.19
BUY,TP,1781532000,1781532000,1781533800,4348.94,4358.68,4339.2,4358.68,9.74,9.74,0.2,0.01,0.5,5.44,9.54,1097.73
BUY,SL,1781534100,1781534100,1781543700,4362.92,4378.07,4347.77,4347.77,15.15,-15.15,0.2,0.01,0.5,5.49,-15.35,1082.38
BUY,TP,1781535900,1781535900,1781535900,4358.86,4368.44,4349.28,4368.44,9.58,9.58,0.2,0.01,0.5,5.41,9.38,1091.76
BUY,SL,1781537400,1781537400,1781543700,4363.68,4378.74,4348.62,4348.62,15.06,-15.06,0.2,0.01,0.5,5.46,-15.26,1076.5
BUY,SL,1781608200,1781608200,1781611500,4345.71,4351.08,4340.34,4340.34,5.37,-5.37,0.2,0.01,0.5,5.38,-5.57,1070.93
BUY,SL,1781609100,1781609100,1781611500,4346.02,4350.98,4341.06,4341.06,4.96,-4.96,0.2,0.01,0.5,5.35,-5.16,1065.77
BUY,TP,1781712900,1781712900,1781713200,4348.08,4357.61,4338.55,4357.61,9.53,9.53,0.2,0.01,0.5,5.33,9.33,1075.1
SELL,TP,1781771100,1781771100,1781771400,4304.66,4296.07,4313.25,4296.07,8.59,8.59,0.2,0.01,0.5,5.38,8.39,1083.49
SELL,TP,1781771700,1781771700,1781773800,4298.23,4284.49,4311.97,4284.49,13.74,13.74,0.2,0.01,0.5,5.42,13.54,1097.03
SELL,TP,1781775900,1781775900,1781776500,4281.7,4270.98,4292.42,4270.98,10.72,10.72,0.2,0.01,0.5,5.49,10.52,1107.55
SELL,TP,1781778300,1781778300,1781783700,4267.39,4256.81,4277.97,4256.81,10.58,10.58,0.2,0.01,0.5,5.54,10.38,1117.93
SELL,TP,1781781900,1781781900,1781784000,4265.94,4254.77,4277.11,4254.77,11.17,11.17,0.2,0.01,0.5,5.59,10.97,1128.9
SELL,TP,1781782500,1781782500,1781783700,4265.88,4256.47,4275.29,4256.47,9.41,9.41,0.2,0.01,0.5,5.64,9.21,1138.11
SELL,SL,1781787000,1781787000,1781788200,4241.14,4231.96,4250.32,4250.32,9.18,-9.18,0.2,0.01,0.5,5.69,-9.38,1128.73
SELL,TP,1781794800,1781794800,1781794800,4256.59,4243.79,4269.39,4243.79,12.8,12.8,0.2,0.01,0.5,5.64,12.6,1141.33
SELL,TP,1781796600,1781796600,1781800500,4244.35,4225.98,4262.72,4225.98,18.37,18.37,0.2,0.01,0.5,5.71,18.17,1159.5
SELL,TP,1781797500,1781797500,1781800200,4244.69,4230.49,4258.89,4230.49,14.2,14.2,0.2,0.01,0.5,5.8,14.0,1173.5
SELL,SL,1781857800,1781857800,1781859300,4152.48,4142.64,4162.32,4162.32,9.84,-9.84,0.2,0.01,0.5,5.87,-10.04,1163.46
SELL,TP,1781861700,1781861700,1781862000,4175.3,4168.03,4182.57,4168.03,7.27,7.27,0.2,0.01,0.5,5.82,7.07,1170.53
SELL,TP,1781869200,1781869200,1781870700,4150.83,4142.8,4158.86,4142.8,8.03,8.03,0.2,0.01,0.5,5.85,7.83,1178.36
SELL,SL,1781873700,1781873700,1781874000,4149.87,4141.39,4158.35,4158.35,8.48,-8.48,0.2,0.01,0.5,5.89,-8.68,1169.68
SELL,TP,1781874900,1781874900,1781876700,4155.7,4147.5,4163.9,4147.5,8.2,8.2,0.2,0.01,0.5,5.85,8.0,1177.68
SELL,SL,1781876400,1781876400,1781877000,4150.89,4145.04,4156.74,4156.74,5.85,-5.85,0.2,0.01,0.5,5.89,-6.05,1171.63
SELL,TP,1781877900,1781877900,1781880900,4169.27,4151.44,4187.1,4151.44,17.83,17.83,0.2,0.01,0.5,5.86,17.63,1189.26
SELL,TP,1781880300,1781880300,1781882100,4158.69,4146.61,4170.77,4146.61,12.08,12.08,0.2,0.01,0.5,5.95,11.88,1201.14
SELL,TP,1781881200,1781881200,1782089100,4151.48,4137.31,4165.65,4137.31,14.17,14.17,0.2,0.01,0.5,6.01,13.97,1215.11
SELL,SL,1781883900,1781883900,1781891100,4144.45,4133.72,4155.18,4155.18,10.73,-10.73,0.2,0.01,0.5,6.08,-10.93,1204.18
SELL,SL,1781887200,1781887200,1781891100,4149.83,4142.82,4156.84,4156.84,7.01,-7.01,0.2,0.01,0.5,6.02,-7.21,1196.97
BUY,TP,1782119100,1782119100,1782122400,4192.03,4198.77,4185.29,4198.77,6.74,6.74,0.2,0.01,0.5,5.98,6.54,1203.51
BUY,TP,1782121500,1782121500,1782122400,4193.56,4199.73,4187.39,4199.73,6.17,6.17,0.2,0.01,0.5,6.02,5.97,1209.48
BUY,TP,1782126300,1782126300,1782126600,4208.89,4213.65,4204.13,4213.65,4.76,4.76,0.2,0.01,0.5,6.05,4.56,1214.04
BUY,SL,1782137700,1782137700,1782138600,4194.34,4203.47,4185.21,4185.21,9.13,-9.13,0.2,0.01,0.5,6.07,-9.33,1204.71
BUY,TP,1782139200,1782139200,1782140100,4192.23,4205.44,4179.02,4205.44,13.21,13.21,0.2,0.01,0.5,6.02,13.01,1217.72
SELL,TP,1782201600,1782201600,1782204600,4114.45,4102.97,4125.93,4102.97,11.48,11.48,0.2,0.01,0.5,6.09,11.28,1229.0
SELL,TP,1782202500,1782202500,1782204600,4115.77,4100.96,4130.58,4100.96,14.81,14.81,0.2,0.01,0.5,6.15,14.61,1243.61
SELL,TP,1782213900,1782213900,1782216000,4127.87,4118.38,4137.36,4118.38,9.49,9.49,0.2,0.01,0.5,6.22,9.29,1252.9
SELL,TP,1782214800,1782214800,1782215700,4128.86,4121.53,4136.19,4121.53,7.33,7.33,0.2,0.01,0.5,6.26,7.13,1260.03
SELL,TP,1782218700,1782218700,1782223200,4121.26,4111.69,4130.83,4111.69,9.57,9.57,0.2,0.01,0.5,6.3,9.37,1269.4
SELL,TP,1782221400,1782221400,1782224400,4115.1,4105.63,4124.57,4105.63,9.47,9.47,0.2,0.01,0.5,6.35,9.27,1278.67
SELL,TP,1782228300,1782228300,1782243000,4134.82,4120.52,4149.12,4120.52,14.3,14.3,0.2,0.01,0.5,6.39,14.1,1292.77
SELL,TP,1782233400,1782233400,1782242400,4135.02,4123.09,4146.95,4123.09,11.93,11.93,0.2,0.01,0.5,6.46,11.73,1304.5
SELL,SL,1782375300,1782375300,1782378000,3980.0,3968.84,3991.16,3991.16,11.16,-11.16,0.2,0.01,0.5,6.52,-11.36,1293.14
SELL,SL,1782376500,1782376500,1782378000,3983.17,3971.35,3994.99,3994.99,11.82,-11.82,0.2,0.01,0.5,6.47,-12.02,1281.12
SELL,TP,1782380700,1782380700,1782380700,3999.64,3992.11,4007.17,3992.11,7.53,7.53,0.2,0.01,0.5,6.41,7.33,1288.45
SELL,TP,1782385200,1782385200,1782389700,3988.15,3978.72,3997.58,3978.72,9.43,9.43,0.2,0.01,0.5,6.44,9.23,1297.68
SELL,TP,1782386100,1782386100,1782389700,3984.41,3976.71,3992.11,3976.71,7.7,7.7,0.2,0.01,0.5,6.49,7.5,1305.18
SELL,TP,1782387900,1782387900,1782389700,3985.64,3979.16,3992.12,3979.16,6.48,6.48,0.2,0.01,0.5,6.53,6.28,1311.46
SELL,SL,1782392100,1782392100,1782394200,3982.6,3973.89,3991.31,3991.31,8.71,-8.71,0.2,0.01,0.5,6.56,-8.91,1302.55
BUY,SL,1782398400,1782398400,1782399300,4023.69,4042.44,4004.94,4004.94,18.75,-18.75,0.2,0.01,0.5,6.51,-18.95,1283.6
BUY,SL,1782406200,1782406200,1782434700,4031.69,4045.25,4018.13,4018.13,13.56,-13.56,0.2,0.01,0.5,6.42,-13.76,1269.84
