timestamp,label,score,days,trading_days,day,month,daily_pf,sharpe,pos_day_pct,max_streak,worst_day,best_day,max_leg_dd_pct,max_lot,skipped_by_cb,trade_units,by_leg
2026-07-03 09:47:02,S75_GRID_01_P16+S63x8+S69x24+S64x8,"(1, 333.5974, 312.0995, 4.7739, -919.26, -3)",90,111,334.86,10045.76,5.353,0.577,71.2,3,-641.27,2379.34,47.2,0.09,4627,5168.0,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:1367.44;S64:72.96;S69:1849.92
2026-07-03 09:47:02,S75_GRID_01_P16+S63x8+S69x24+S64x8,"(1, 333.5974, 312.0995, 4.7739, -919.26, -3)",120,142,356.02,10680.48,5.248,0.504,69.0,3,-678.64,4121.21,55.01,0.11,6477,6763.0,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1245.68;S64:874.24;S69:2150.64
2026-07-03 09:47:02,S75_GRID_01_P16+S63x8+S69x24+S64x8,"(1, 333.5974, 312.0995, 4.7739, -919.26, -3)",150,180,312.1,9362.98,4.901,0.499,66.1,3,-678.07,2699.27,49.25,0.12,8267,8131.0,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1187.20;S64:-443.52;S69:2150.64
2026-07-03 09:47:02,S75_GRID_01_P16+S63x8+S69x24+S64x8,"(1, 333.5974, 312.0995, 4.7739, -919.26, -3)",180,215,331.42,9942.46,4.774,0.492,65.6,3,-919.26,2699.27,34.59,0.19,9727,9759.0,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:1557.92;S64:275.44;S69:3165.36
2026-07-03 09:47:02,S75_GRID_02_P16+S63x8+S69x24+S64x4,"(1, 332.7637, 313.5779, 4.9575, -919.26, -3)",90,111,334.45,10033.6,5.729,0.586,71.2,3,-484.85,2379.34,47.2,0.09,4627,5044.0,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:1367.44;S64:36.48;S69:1849.92
2026-07-03 09:47:02,S75_GRID_02_P16+S63x8+S69x24+S64x4,"(1, 332.7637, 313.5779, 4.9575, -919.26, -3)",120,142,352.37,10571.2,5.578,0.535,70.4,3,-578.93,3274.41,55.01,0.11,6477,6603.0,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1245.68;S64:437.12;S69:2150.64
2026-07-03 09:47:02,S75_GRID_02_P16+S63x8+S69x24+S64x4,"(1, 332.7637, 313.5779, 4.9575, -919.26, -3)",150,180,313.58,9407.34,5.161,0.504,67.2,3,-543.59,2699.27,49.25,0.12,8267,7983.0,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1187.20;S64:-221.76;S69:2150.64
2026-07-03 09:47:02,S75_GRID_02_P16+S63x8+S69x24+S64x4,"(1, 332.7637, 313.5779, 4.9575, -919.26, -3)",180,215,330.65,9919.51,4.958,0.493,66.0,3,-919.26,2699.27,34.59,0.19,9727,9559.0,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:1557.92;S64:137.72;S69:3165.36
2026-07-03 09:47:02,S75_GRID_03_P16+S63x8+S69x24+S64x2,"(1, 332.3469, 314.3171, 5.0424, -919.26, -3)",90,111,334.25,10027.52,5.942,0.587,71.2,3,-521.03,2379.34,47.2,0.09,4627,4982.0,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:1367.44;S64:18.24;S69:1849.92
2026-07-03 09:47:02,S75_GRID_03_P16+S63x8+S69x24+S64x2,"(1, 332.3469, 314.3171, 5.0424, -919.26, -3)",120,142,350.55,10516.56,5.737,0.547,70.4,3,-615.11,2851.01,55.01,0.11,6477,6523.0,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1245.68;S64:218.56;S69:2150.64
