timestamp,label,setup_type,trades,wr,total_pnl,avg_per_day_span,avg_per_day_active,trades_per_active_day,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,avg_r_multiple,profit_factor,ema_fast,ema_trend,pullback_touch_atr,momentum_body_atr,pullback_max_atr,range_lookback,range_edge_pct,sl_atr_mult,tp_rr
2026-06-26 20:35:38,grid050_ema_ef13_et50_touch0.2_sl0.5,ema_pullback,2517,49.5,-1013.12,-33.77,-31.66,78.7,32,30,0,1104.48,101.2,0.01,0.1,1.0,-13.12,16,-0.28,0.86,13,50,0.2,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:35:40,grid051_ema_ef13_et50_touch0.2_sl0.8,ema_pullback,2516,50.2,-871.23,-29.04,-27.23,78.6,32,30,0,1100.05,89.52,0.01,0.08,1.0,128.77,22,-0.069,0.89,13,50,0.2,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:35:43,grid052_ema_ef13_et50_touch0.35_sl0.3,ema_pullback,2872,49.4,-1189.48,-39.65,-37.17,89.8,32,30,0,1210.51,118.56,0.01,0.11,1.0,-189.48,14,0.135,0.84,13,50,0.35,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:35:45,grid053_ema_ef13_et50_touch0.35_sl0.5,ema_pullback,2872,49.2,-1145.93,-38.2,-35.81,89.8,32,30,0,1234.99,113.4,0.01,0.09,1.0,-145.93,18,0.096,0.86,13,50,0.35,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:35:48,grid054_ema_ef13_et50_touch0.35_sl0.8,ema_pullback,2870,49.7,-980.27,-32.68,-30.63,89.7,32,30,0,1153.66,98.32,0.01,0.07,1.0,19.73,23,-0.11,0.89,13,50,0.35,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:35:50,grid055_mom_body0.6_pb0.2_sl0.3,momentum_pullback,1463,47.2,-947.28,-31.58,-29.6,45.7,32,30,0,1016.8,101.68,0.01,0.09,1.0,52.72,11,0.037,0.77,8,50,0.15,0.6,0.2,20,0.15,0.3,1.0
2026-06-26 20:35:52,grid056_mom_body0.6_pb0.2_sl0.5,momentum_pullback,1463,48.1,-802.56,-26.75,-25.08,45.7,32,30,0,827.08,82.43,0.01,0.07,1.0,197.44,12,-0.1,0.81,8,50,0.15,0.6,0.2,20,0.15,0.5,1.0
2026-06-26 20:35:55,grid057_mom_body0.6_pb0.2_sl0.8,momentum_pullback,1462,49.2,-623.04,-20.77,-19.47,45.7,32,30,0,706.52,67.73,0.01,0.07,1.0,376.96,10,-0.06,0.88,8,50,0.15,0.6,0.2,20,0.15,0.8,1.0
2026-06-26 20:35:57,grid058_mom_body0.6_pb0.35_sl0.3,momentum_pullback,2511,48.3,-1134.66,-37.82,-35.46,78.5,32,30,0,1212.1,119.13,0.01,0.08,1.0,-134.66,14,0.422,0.82,8,50,0.15,0.6,0.35,20,0.15,0.3,1.0
2026-06-26 20:35:59,grid059_mom_body0.6_pb0.35_sl0.5,momentum_pullback,2511,48.6,-1019.45,-33.98,-31.86,78.5,32,30,0,1058.42,104.58,0.01,0.07,1.0,-19.45,14,0.089,0.85,8,50,0.15,0.6,0.35,20,0.15,0.5,1.0
